specific_name,species_url,wfo_id
Prunus ceylanica (Wight) Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00132,wfo-0001018017
Prunus arborea (Blume) Kalkman,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00135,
Prunus cerasoides Buch.-Ham. ex D.Don,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00128,wfo-0001017427
Prunus ceylanica (Wight) Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00132,wfo-0001018017
Prunus grisea (Blume ex Müll.Berol.) Kalkman,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00133,
Prunus javanica (Teijsm. & Binn.) Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00130,wfo-0001017632
Prunus persica (L.) Batsch,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00127,wfo-0001005418
Prunus phaeosticta (Hance) Maxim.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00131,wfo-0001002050
Prunus undulata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00129,wfo-0001017640
Chrysobalanus icaco L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00138,wfo-0000830291
Angelesia splendens,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00140,wfo-0000815116
Parastemon urophyllus (Wall. ex A.DC.) A.DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00142,wfo-0000817867
Parinari anamensis Hance,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00144,wfo-0000817702
Maranthes corymbosa Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00146,wfo-0000816420
Platea latifolia Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00149,wfo-0000476523
Medusanthera gracilis (King) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00151,wfo-0000373726
Gomphandra quadrifida (Blume) Sleumer,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00153,
Gomphandra tetrandra (Wall.) Sleumer,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00157,wfo-0000705420
Gomphandra quadrifida (Blume) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00153,
Gomphandra tetrandra (Wall.) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00157,wfo-0000705420
Gonocaryum lobbianum (Miers) Kurz,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00159,wfo-0000706711
Apodytes dimidiata E.Mey. ex Arn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00161,wfo-0000540853
Mappia nimmoniana,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00163,wfo-0000378983
Mappia montana,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00164,wfo-0000378981
Mappia nimmoniana,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00163,wfo-0000378983
Mappia montana,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00164,wfo-0000378981
Pittosporopsis kerrii Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00166,wfo-0000465355
Stemonurus malaccensis (Mast.) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00168,wfo-0000498751
Iodes cirrhosa Turcz.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00170,wfo-0000731861
Iodes vitiginea (Hance) Hemsl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00171,wfo-0001228107
Iodes cirrhosa Turcz.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00170,wfo-0000731861
Iodes vitiginea (Hance) Hemsl.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00171,wfo-0001228107
Pyrenacantha volubilis Wight,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00173,
Natsiatum herpeticum Buch.-Ham. ex Arn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00175,wfo-0000379073
Miquelia kleinii Meisn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00177,wfo-0000373715
Phytocrene oblonga Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00179,wfo-0000465335
Phytocrene palmata Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00180,wfo-0000465332
Phytocrene bracteata Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00181,wfo-0000465385
Phytocrene bracteata Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00181,wfo-0000465385
Phytocrene oblonga Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00179,wfo-0000465335
Phytocrene palmata Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00180,wfo-0000465332
Cardiopteris quinqueloba (Hassk.) Hassk.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00184,wfo-0000802651
Dillenia parviflora Griff.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00188,wfo-0000647610
Dillenia pentagyna Roxb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00187,wfo-0000647615
Dillenia aurea Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00189,wfo-0000647511
Dillenia obovata (Blume) Hoogland,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00190,wfo-0000647601
Dillenia ovata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00191,wfo-0000647555
Dillenia suffruticosa (Grillf.) Martelli,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00192,wfo-0000647643
Dillenia excelsa (Jack) Martelli ex Gilg.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00193,wfo-0000647544
Dillenia hookeri Pierre,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00194,wfo-0000647562
Dillenia ovata Wall. ex Hook.f. & Thomson,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00195,wfo-0000647605
Dillenia indica L.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00196,wfo-0000647564
Dillenia aurea Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00189,wfo-0000647511
Dillenia excelsa (Jack) Martelli ex Gilg.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00193,wfo-0000647544
Dillenia ovata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00191,wfo-0000647555
Dillenia hookeri Pierre,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00194,wfo-0000647562
Dillenia indica L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00196,wfo-0000647564
Dillenia obovata (Blume) Hoogland,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00190,wfo-0000647601
Dillenia ovata Wall. ex Hook.f. & Thomson,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00195,wfo-0000647605
Dillenia parviflora Griff.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00188,wfo-0000647610
Dillenia pentagyna Roxb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00187,wfo-0000647615
Dillenia suffruticosa (Grillf.) Martelli,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00192,wfo-0000647643
Acrotrema costatum Jack,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00198,wfo-0000518969
Tetracera scandens (L.) Merr.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,wfo-0001045865
Tetracera sarmentosa (L.) Vahl,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00201,wfo-0001045885
Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,wfo-0000408341
Tetracera indica (Christm. & Panz.) Merr.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,wfo-0001267164
Tetracera indica (Christm. & Panz.) Merr.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00205,wfo-0001267164
Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00204,wfo-0000408341
Tetracera sarmentosa (L.) Vahl,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00201,wfo-0001045885
Tetracera scandens (L.) Merr.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00200,wfo-0001045865
Saurauia napaulensis DC.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00208,wfo-0001224545
Saurauia tristyla DC.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00210,wfo-0001225014
Saurauia roxburghii Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00211,wfo-0000500955
Saurauia napaulensis DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00208,wfo-0001224545
Saurauia roxburghii Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00211,wfo-0000500955
Saurauia tristyla DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00210,wfo-0001225014
Kadsura coccinea,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00214,wfo-0000357312
Kadsura heteroclita (Roxb.) Craib,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00215,wfo-0000357309
Kadsura scandens (Blume) Blume,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00216,wfo-0000357329
Kadsura coccinea,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00214,wfo-0000357312
Kadsura heteroclita (Roxb.) Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00215,wfo-0000357309
Kadsura scandens (Blume) Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00216,wfo-0000357329
Illicium stapfii,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00219,wfo-0000730095
Illicium tenuifolium (Ridl.) A.C.Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00220,wfo-0001254717
Illicium stapfii,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00219,wfo-0000730095
Illicium tenuifolium (Ridl.) A.C.Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00220,wfo-0001254717
Rourea minor (Gaertn.) Leenh.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00231,wfo-0000403186
Rourea prainiana Talbot,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00233,wfo-0000403288
Rourea mimosoides (Vahl) Planch.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00232,wfo-0000403185
Rourea sp.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00234,
Rourea mimosoides (Vahl) Planch.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00232,wfo-0000403185
Rourea minor (Gaertn.) Leenh.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00231,wfo-0000403186
Rourea prainiana Talbot,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00233,wfo-0000403288
Rourea sp.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00234,
Rourea stenopetala,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00228,wfo-0001278859
Rourea acutipetala,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00229,wfo-0000398943
Rourea acutipetala,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00229,wfo-0000398943
Rourea stenopetala,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00228,wfo-0001278859
Agelaea trinervis (Llanos) Merr.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00225,wfo-0000523801
