wfo_id,scraped_name,scrape_status
wfo-0000423042,Vaccinium dialypetalum J.J.Sm.,ok
wfo-0000234688,Mallotus penangensis Müll.Arg.,ok
wfo-0000959829,Eulophia dufossei Guillaumin,ok
wfo-0000198087,Dunbaria fusca (Wall.) Kurz,ok
wfo-0001052142,Rhus griffithii Hook.f.,ok
wfo-0000730130,Illigera thorelii Gagnep.,ok
wfo-0000641236,Dendrophthoe kerrii (Craib) Barlow,ok
wfo-0000965116,Euphorbia tirucalli L.,ok
wfo-0000796527,Lithocarpus loratifolius Phengklai,ok
wfo-0001128266,Psilotum complanatum Sw.,ok
wfo-0000946682,Drypetes subsessilis (Kurz) Pax & K.Hoffm.,ok
wfo-0001255199,Diplazium tomentosum Blume,ok
wfo-0000525039,Sauropus thyrsiflorus Welzen,ok
wfo-0000819728,Wahlenbergia marginata (Thunb.) A.DC.,ok
wfo-0000418653,Fimbristylis alboviridis C.B.Clarke,ok
wfo-0001117730,Christensenia aesculifolia (Blume) Maxon,ok
wfo-0001115927,Microsorum heterocarpum Ching,ok
wfo-0000615154,Colona elobata Craib,ok
wfo-0000371248,Mangifera indica L.,ok
wfo-0000008474,Blumea virens DC.,ok
wfo-0000317354,Strophanthus wallichii A.DC.,ok
wfo-0000444793,Leptonychia caudata (Wall. ex G.Don) Burret,ok
wfo-0000508041,Thladiantha angustisepala W.J.de Wilde & Duyfjes,ok
wfo-0000227549,Licuala spinosa Thunb.,ok
wfo-0000544252,Ardisia eglandulosa H.R.Fletcher,ok
wfo-0000234922,Antidesma acidum Retz.,ok
wfo-0000703687,Glenniea philippinensis (Radlk.) Leenh.,ok
wfo-0000197445,Tephrosia coccinea Wall.,ok
wfo-0000934616,Cymbidium sinense (Andrews) Willd.,ok
wfo-0000724152,Hodgsonia macrocarpa (Blume) Cogn.,ok
wfo-0000163963,Cassia hirsuta L.,ok
wfo-0000649235,Diospyros longipilosa Phengklai,ok
wfo-0000318756,Syzygium hemisphericum (Wight) Alston,ok
wfo-0000690431,Ficus stricta Miq.,ok
wfo-0000831038,Cyclocodon parviflorus (Wall. ex A.DC.) Hook.f. & Thomson,ok
wfo-0001125361,Arachniodes henryi (Christ) Ching,ok
wfo-0000200420,Dolichos fragrans Kerr,ok
wfo-0000688942,Ficus kurzii King,ok
wfo-0001107908,Adiantum soboliferum Wall. ex Hook.,ok
wfo-0000548379,Aristolochia tagala Cham.,ok
wfo-0000584566,Capparis cantoniensis Lour.,ok
wfo-0000486544,Plantago major L.,ok
wfo-0000206856,Millettia pinnata (L.) Panigrahi,ok
wfo-0000502993,Strychnos minor Dennst.,ok
wfo-0001116817,Arachniodes assamica (Kuhn) Ohwi,ok
wfo-0000657551,Duabanga grandiflora (Roxb. ex DC.) Walp.,ok
wfo-0000896264,Aganonerion polymorphum Pierre,ok
wfo-0000164336,Cassia mimosoides L.,ok
wfo-0001128375,Belvisia annamensis (C.Chr.) Tagawa,ok
wfo-0000681810,Euonymus hederaceus Champ. ex Benth.,ok
wfo-0000501263,Strychnos villosa A.W.Hill,ok
wfo-0001282457,Wikstroemia polyantha Merr.,ok
wfo-0000983441,Rubus blepharoneurus Cardot,ok
wfo-0000356960,Knema curtisii (King) Warb.,ok
wfo-0001105684,Lysimachia congestiflora Hemsl.,ok
wfo-0000473944,Parartocarpus bracteatus Becc.,ok
wfo-0000328255,Trigonostemon capillipes (Hook.f.) Airy Shaw,ok
wfo-0001107933,Cheilanthes farinosa (Forssk.) Kaulf.,ok
wfo-0000681828,Euonymus indicus B.Heyne ex Wall.,ok
wfo-0000318208,Syzygium albiflorum (Duthie ex Kurz) Bahadur & R.C.Gaur,ok
wfo-0001141130,Pterospermum lanceifolium Roxb.,ok
wfo-0000196964,Pterolobium macropterum Kurz,ok
wfo-0001423965,Lophopetalum javanicum (Zoll.) Turcz.,ok
wfo-0000814107,Castanopsis javanica A.DC.,ok
wfo-0001257601,Bolbitis scalpturata (Fée) Ching,ok
wfo-0000441843,Sechium edule Sw.,ok
wfo-0000248194,Myrialepis paradoxa (Kurz) J.Dransf.,ok
wfo-0000502909,Strychnos rupicola Pierre ex Dop,ok
wfo-0000364595,Croton poomae Esser,ok
wfo-0000726469,Hydrocotyle javanica Thunb.,ok
wfo-0000779440,Pauldopia ghorta (Buch.-Ham. ex G.Don) Steenis,ok
wfo-0000934583,Cymbidium rectum Ridl.,ok
wfo-0000366385,Linum usitatissimum L.,ok
wfo-0000229909,Lithocarpus erythrocarpus (Ridl.) A.Camus,ok
wfo-0000025579,Thespis divaricata DC.,ok
wfo-0001266206,Diplazium bantamense Blume,ok
wfo-0000937074,Daemonorops lewisiana (Griff.) Mart.,ok
wfo-0001125522,Lindsaea bouillodii Christ,ok
wfo-0000328341,Trigonostemon pachyphyllus Airy Shaw,ok
wfo-0000949031,Endospermum peltatum Merr.,ok
wfo-0001424726,"Cryptochilus siamensis (Schltr.) Schuit., Y.P.Ng & H.A.Pedersen",ok
wfo-0001108013,Vittaria ensiformis Sw.,ok
wfo-0001145773,Leea simplicifolia Zoll. & Moritzi,ok
wfo-0000611531,Xyris indica L.,ok
wfo-0000545102,Ardisia rubro-glandulosa H.R.Fletcher,ok
wfo-0000500509,Shorea obtusa Wall. ex Blume,ok
wfo-0000326442,Trachelospermum asiaticum Nakai,ok
wfo-0000897552,Aganosma cymosa (Roxb.) G.Don,ok
wfo-0000234699,Mallotus plicatus (Müll.Arg.) Airy Shaw,ok
wfo-0001117817,Loxogramme involuta (D.Don) C.Presl,ok
wfo-0001085240,Knema furfuracea (Hook.f. & Thomson) Warb.,ok
wfo-0000664480,Elaeocarpus macrocerus (Turcz.) Merr.,ok
wfo-0001298909,Poranopsis discifera (C.K.Schneid.) Staples,ok
wfo-0000647544,Dillenia excelsa (Jack) Gilg,ok
wfo-0000412635,Breynia glauca Craib,ok
wfo-0000445814,Limnophila indica (L.) Druce,ok
wfo-0000318774,Syzygium hulletianum (King) Chantar. & J.Parn.,ok
wfo-0000229834,Lithocarpus craibianus Barnett,ok
wfo-0000275155,Plectocomia elongata Mart. ex Blume,ok
wfo-0000830025,Chionanthus amblirrhinus P.S.Green,ok
wfo-0000403186,Rourea minor (Gaertn.) Merr.,ok
wfo-0001125813,Arthromeris tatsienensis (Franch. & Bureau) Ching,ok
wfo-0001224545,Saurauia napaulensis DC.,ok
wfo-0000187704,Rhynchosia viscosa DC.,ok
wfo-0000302677,Sampantaea amentiflora (Airy Shaw) Airy Shaw,ok
wfo-0000960841,Euphorbia atoto G.Forst.,ok
wfo-0001238676,Michelia alba DC.,ok
wfo-0000234691,Mallotus philippensis (Lam.) Müll.Arg.,ok
wfo-0000367704,Bousigonia angustifolia Pierre,ok
wfo-0000544092,Ardisia confusa K.Larsen & C.M.Hu,ok
wfo-0000973294,Glochidion hypoleucum (Miq.) Boerl.,ok
wfo-0000687737,Ficus caulocarpa Miq.,ok
wfo-0000405905,Rotala indica (Willd.) Koehne,ok
wfo-0000705420,Gomphandra tetrandra (Wall.) Sleumer,ok
wfo-0000232002,Macaranga hosei King ex Hook.f.,ok
wfo-0000272204,Phyllanthus taxodiifolius Beille,ok
wfo-0000235507,Manihot esculenta Crantz,ok
wfo-0000946621,Drypetes perreticulata Gagnep.,ok
wfo-0000192342,Dunbaria podocarpa Kurz,ok
wfo-0000199687,Acacia andamanica I.C.Nielsen,ok
wfo-0000412068,Breynia discigera Müll.Arg.,ok
wfo-0000281948,Pouteria obovata (R.Br.) Baehni,ok
wfo-0000199579,Bauhinia ridleyi Prain,ok
wfo-0000246860,Mycaranthes oblitterata Blume,ok
wfo-0000953757,Erismanthus obliquus Wall. ex Müll.Arg.,ok
wfo-0001142693,Triumfetta repens (Blume) Merr. & Rolfe,ok
wfo-0001016273,Rhaphiolepis indica (L.) Lindl.,ok
wfo-0001341567,Derris solorioides Sirich. & Adema,ok
wfo-0000593788,Celtis timorensis Span.,ok
wfo-0001076077,Rotala rotundifolia (Buch.-Ham. ex Roxb.) Koehne,ok
wfo-0001065354,Illigera celebica Miq.,ok
wfo-0000318451,Syzygium claviflorum (Roxb.) Wall. ex Steud.,ok
wfo-0000249809,Aporosa villosa (Lindl.) Baill.,ok
wfo-0000234766,Mallotus tiliifolius (Blume) Müll.Arg.,ok
wfo-0000186315,Euchresta horsfieldii (Lesch.) Benn.,ok
wfo-0000525029,Sauropus discocalyx Welzen,ok
wfo-0000200326,Millettia caerulea Baker,ok
wfo-0000289668,Quercus auricoma A.Camus,ok
wfo-0000295095,Rauvolfia micrantha Hook.f.,ok
wfo-0000960262,Eulophia siamensis Rolfe ex Downie,ok
wfo-0000217567,Ipsea thailandica Seidenf.,ok
wfo-0000421884,Fimbristylis merrillii J.Kern,ok
wfo-0000435045,Siamosia thailandica K.Larsen & Pedersen,ok
wfo-0000452741,Kobresia curvirostris (C.B.Clarke) C.B.Clarke,ok
wfo-0000742960,Smilax luzonensis C.Presl,ok
wfo-0000375794,Maerua siamensis (Kurz) Pax,ok
wfo-0000144512,Polystichum tenggerense Rosenst.,ok
wfo-0001119983,Selaginella repanda (Desv. & Poir.) Spring,ok
wfo-0000207198,Spatholobus ferrugineus (Zoll. & Moritzi) Benth.,ok
wfo-0001063088,Scolopia buxifolia Gagnep.,ok
wfo-0000176386,Stylosanthes guianensis (Aubl.) Sw.,ok
wfo-0000815116,Licania splendens (Korth.) Prance,ok
wfo-0001236968,Turpinia pomifera (Roxb.) DC.,ok
wfo-0000200501,Mucuna oligoplax Niyomdham & Wilmot-Dear,ok
wfo-0000507585,Pycreus sulcinux (C.B.Clarke) C.B.Clarke,ok
wfo-0001299259,Argyreia roxburghii (Sweet) Choisy,ok
wfo-0000720313,Heritiera javanica (Blume) Kosterm.,ok
wfo-0001115069,Dryopteris sparsa (D.Don) Kuntze,ok
wfo-0000356181,Knema andamanica (Warb.) W.J.de Wilde,ok
wfo-0001107518,Ophioglossum pendulum L.,ok
wfo-0000158217,Asplenium paradoxum Blume,ok
wfo-0001107144,Helicia vestita W.W.Sm.,ok
wfo-0001125738,Platycerium wallichii Hook.,ok
wfo-0000689646,Ficus parietalis Blume,ok
wfo-0000447778,Myristica maingayi Hook.f.,ok
wfo-0001275992,Labisia pumila (Blume) Benth. & Hook.f. ex Fern.-Vill.,ok
wfo-0000544297,Ardisia ficiifolia K.Larsen & C.M.Hu,ok
wfo-0001125587,Thelypteris nudata (Roxb.) C.V.Morton,ok
wfo-0001225376,Trichosanthes tricuspidata Lour.,ok
wfo-0000551175,Scleria levis Retz.,ok
wfo-0000565063,Bhesa indica (Bedd.) Ding Hou,ok
wfo-0000814013,Jasminum cordatum Ridl.,ok
wfo-0000973575,Glochidion sphaerogynum (Müll.Arg.) Kurz,ok
wfo-0000492941,Scleropyrum pentandrum (Dennst.) Mabb.,ok
wfo-0000955842,Eucalyptus saligna Sm.,ok
wfo-0000305964,Schefflera hypoleucoides Harms,ok
wfo-0000199611,Crudia caudata Prain,ok
wfo-0001116506,Callistopteris apiifolia (Presl) Copel.,ok
wfo-0000814556,Lobelia colorata Wall.,ok
wfo-0000637022,Dalbergia darlacensis P.H.Hô & Niyomdham,ok
wfo-0000756193,Calamus griseus J.Dransf.,ok
wfo-0000797717,Ophiorrhiza pedunculata Schanzer,ok
wfo-0000381273,Nephelium hypoleucum Kurz,ok
wfo-0000500548,Shorea ovata Dyer ex Brandis,ok
wfo-0000498751,Stemonurus malaccensis (Mast.) Sleumer,ok
wfo-0000688009,Ficus cuspidata Reinw. ex Blume,ok
wfo-0000327975,Trichotosia ferox Blume,ok
wfo-0000685804,Fallopia multiflora (Thunb.) Haraldson,ok
