specific_name,species_url
Prunus ceylanica (Wight) Miq.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00132
Prunus arborea (Blume) Kalkman,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00135
Prunus cerasoides Buch.-Ham. ex D.Don,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00128
Prunus ceylanica (Wight) Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00132
Prunus grisea (Blume ex Müll.Berol.) Kalkman,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00133
Prunus javanica (Teijsm. & Binn.) Miq.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00130
Prunus persica (L.) Batsch,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00127
Prunus phaeosticta (Hance) Maxim.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00131
Prunus undulata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00129
Chrysobalanus icaco L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00138
Angelesia splendens,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00140
Parastemon urophyllus (Wall. ex A.DC.) A.DC.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00142
Parinari anamensis Hance,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00144
Maranthes corymbosa Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00146
Platea latifolia Blume,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00149
Medusanthera gracilis (King) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00151
Gomphandra quadrifida (Blume) Sleumer,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00153
Gomphandra tetrandra (Wall.) Sleumer,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00157
Gomphandra quadrifida (Blume) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00153
Gomphandra tetrandra (Wall.) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00157
Gonocaryum lobbianum (Miers) Kurz,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00159
Apodytes dimidiata E.Mey. ex Arn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00161
Mappia nimmoniana,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00163
Mappia montana,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00164
Mappia nimmoniana,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00163
Mappia montana,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00164
Pittosporopsis kerrii Craib,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00166
Stemonurus malaccensis (Mast.) Sleumer,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00168
Iodes cirrhosa Turcz.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00170
Iodes vitiginea (Hance) Hemsl.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00171
Iodes cirrhosa Turcz.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00170
Iodes vitiginea (Hance) Hemsl.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00171
Pyrenacantha volubilis Wight,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00173
Natsiatum herpeticum Buch.-Ham. ex Arn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00175
Miquelia kleinii Meisn.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00177
Phytocrene oblonga Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00179
Phytocrene palmata Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00180
Phytocrene bracteata Wall.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00181
Phytocrene bracteata Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00181
Phytocrene oblonga Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00179
Phytocrene palmata Wall.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00180
Cardiopteris quinqueloba (Hassk.) Hassk.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00184
Dillenia parviflora Griff.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00188
Dillenia pentagyna Roxb.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00187
Dillenia aurea Sm.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00189
Dillenia obovata (Blume) Hoogland,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00190
Dillenia ovata,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00191
Dillenia suffruticosa (Grillf.) Martelli,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00192
Dillenia excelsa (Jack) Martelli ex Gilg.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00193
Dillenia hookeri Pierre,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00194
Dillenia ovata Wall. ex Hook.f. & Thomson,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00195
Dillenia indica L.,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00196
Dillenia aurea Sm.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00189
Dillenia excelsa (Jack) Martelli ex Gilg.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00193
Dillenia ovata,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00191
Dillenia hookeri Pierre,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00194
Dillenia indica L.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00196
Dillenia obovata (Blume) Hoogland,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00190
Dillenia ovata Wall. ex Hook.f. & Thomson,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00195
Dillenia parviflora Griff.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00188
Dillenia pentagyna Roxb.,https://botany.dnp.go.th/eflora/floraSpecies.html?tdcode=00187
