volume,family_name,genus_name,genus_label,genus_index_parsed,species_scientific_name,accepted_name,thailand,distribution,ecology,family_url,genus_url,species_url,scraped_at,specific_name,wfo_id,wfo_full_name,wfo_source
15,Rubiaceae,101. Urophyllum,Urophyllum,101.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Urophyllum&tdcode=,,2025-10-20T22:57:49.726118+00:00,,,,unfilled
15,Rubiaceae,65. Brachytome,Brachytome,65.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Brachytome&tdcode=,,2025-10-20T22:57:54.087746+00:00,,,,unfilled
15,Rubiaceae,93. Rennellia,Rennellia,93.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Rennellia&tdcode=,,2025-10-20T22:57:58.403119+00:00,,,,unfilled
15,Rubiaceae,"85. Mycetia, p.p. ( M. basiflora )","Mycetia, p.p. ( M. basiflora )",85.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Mycetia&tdcode=,,2025-10-20T22:58:02.669133+00:00,,,,unfilled
15,Rubiaceae,103. Wendlandia,Wendlandia,103.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Wendlandia&tdcode=,,2025-10-20T22:58:06.931473+00:00,,,,unfilled
15,Rubiaceae,"80. Lasianthus, p.p.","Lasianthus, p.p.",80.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Lasianthus&tdcode=,,2025-10-20T22:58:11.172875+00:00,,,,unfilled
15,Rubiaceae,"95. Saprosma, p.p.","Saprosma, p.p.",95.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Saprosma&tdcode=,,2025-10-20T22:58:15.409550+00:00,,,,unfilled
15,Rubiaceae,96. Scyphiphora,Scyphiphora,96.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Scyphiphora&tdcode=,,2025-10-20T22:58:19.704841+00:00,,,,unfilled
15,Rubiaceae,75. Guettarda,Guettarda,75.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Guettarda&tdcode=,,2025-10-20T22:58:23.963649+00:00,,,,unfilled
15,Rubiaceae,92. Psydrax,Psydrax,92.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Psydrax&tdcode=,,2025-10-20T22:58:28.245469+00:00,,,,unfilled
15,Rubiaceae,82. Litosanthes ( Lasianthus s.l. ),Litosanthes ( Lasianthus s.l. ),82.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Litosanthes&tdcode=,,2025-10-20T22:58:32.477477+00:00,,,,unfilled
15,Rubiaceae,73. Gardeniopsis,Gardeniopsis,73.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Gardeniopsis&tdcode=,,2025-10-20T22:58:36.811994+00:00,,,,unfilled
15,Rubiaceae,76. Hypobathrum,Hypobathrum,76.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hypobathrum&tdcode=,,2025-10-20T22:58:41.159696+00:00,,,,unfilled
15,Rubiaceae,68. Discospermum,Discospermum,68.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Discospermum&tdcode=,,2025-10-20T22:58:45.594306+00:00,,,,unfilled
15,Rubiaceae,77. Hyptianthera,Hyptianthera,77.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Hyptianthera&tdcode=,,2025-10-20T22:58:49.939788+00:00,,,,unfilled
15,Rubiaceae,104. Xantonnea,Xantonnea,104.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Xantonnea&tdcode=,,2025-10-20T22:58:54.297667+00:00,,,,unfilled
15,Rubiaceae,67. Diplospora,Diplospora,67.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Diplospora&tdcode=,,2025-10-20T22:58:58.657706+00:00,,,,unfilled
15,Rubiaceae,69. Duperrea,Duperrea,69.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Duperrea&tdcode=,,2025-10-20T22:59:03.018980+00:00,,,,unfilled
15,Rubiaceae,94. Ridsdalea,Ridsdalea,94.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Ridsdalea&tdcode=,,2025-10-20T22:59:07.339528+00:00,,,,unfilled
15,Rubiaceae,97. Singaporandia,Singaporandia,97.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Singaporandia&tdcode=,,2025-10-20T22:59:11.570933+00:00,,,,unfilled
15,Rubiaceae,89. Prismatomeris,Prismatomeris,89.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Prismatomeris&tdcode=,,2025-10-20T22:59:15.835364+00:00,,,,unfilled
15,Rubiaceae,81. Leptodermis,Leptodermis,81.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Leptodermis&tdcode=,,2025-10-20T22:59:20.151314+00:00,,,,unfilled
15,Rubiaceae,74. Greenea,Greenea,74.0,,,,,,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Rubiaceae&volumeno=15,https://botany.dnp.go.th/eflora/floragenus.html?factsheet=Greenea&tdcode=,,2025-10-20T22:59:24.437783+00:00,,,,unfilled
