bkf_specific_name,bkf_wfo_id,specific_name_clean,bkf_wfo_full_name,o7_wfo_id,o7_wfo_full_name,cand_wfo_id,cand_wfo_full_name,wfo_id_final,wfo_source,conflict_bkf_vs_o7,conflict_bkf_vs_cand,conflict_o7_vs_cand,any_conflict,wfo_full_name_final
Crotalaria goreensis Guill. & Perr.,wfo-0000207414,crotalaria goreensis guill. & perr.,This is currently accepted.,wfo-0000207414,Crotalaria goreensis Guill. & Perr.,,,wfo-0000207414,bkf_original,False,False,False,False,Crotalaria goreensis Guill. & Perr.
Crotalaria trichotoma Bojer,wfo-0000186157,crotalaria trichotoma bojer,This is currently accepted.,wfo-0000186157,Crotalaria trichotoma Bojer,,,wfo-0000186157,bkf_original,False,False,False,False,Crotalaria trichotoma Bojer
Crotalaria laburnifolia L.,wfo-0000206634,crotalaria laburnifolia l.,This is currently accepted.,wfo-0000206634,Crotalaria laburnifolia L.,,,wfo-0000206634,bkf_original,False,False,False,False,Crotalaria laburnifolia L.
Crotalaria bracteata Roxb. ex DC.,wfo-0001054588,crotalaria bracteata roxb. ex dc.,This is currently accepted.,wfo-0001054588,Crotalaria bracteata Roxb. ex DC.,,,wfo-0001054588,bkf_original,False,False,False,False,Crotalaria bracteata Roxb. ex DC.
Crotalaria cytisoides Roxb. ex DC.,wfo-0000198887,crotalaria cytisoides roxb. ex dc.,This is currently accepted.,wfo-0000198887,Crotalaria cytisoides Roxb. ex DC.,,,wfo-0000198887,bkf_original,False,False,False,False,Crotalaria cytisoides Roxb. ex DC.
Crotalaria pallida Aiton,wfo-0000209124,crotalaria pallida aiton,This is currently accepted.,wfo-0000209124,Crotalaria pallida Aiton,,,wfo-0000209124,bkf_original,False,False,False,False,Crotalaria pallida Aiton
Crotalaria micans Link,wfo-0000210917,crotalaria micans link,This is currently accepted.,wfo-0000210917,Crotalaria micans Link,,,wfo-0000210917,bkf_original,False,False,False,False,Crotalaria micans Link
Crotalaria incana L.,wfo-0000207244,crotalaria incana l.,This is currently accepted.,wfo-0000207244,Crotalaria incana L.,,,wfo-0000207244,bkf_original,False,False,False,False,Crotalaria incana L.
Cruddasia multifoliolata Adema & J.Barham,wfo-0000627015,cruddasia multifoliolata adema & j.barham,This is currently accepted.,wfo-0000627015,Cruddasia multifoliolata Adema & J.Barham,,,wfo-0000627015,bkf_original,False,False,False,False,Cruddasia multifoliolata Adema & J.Barham
Cruddasia insignis Prain,wfo-0000200419,cruddasia insignis prain,This is currently accepted.,wfo-0000200419,Cruddasia insignis Prain,,,wfo-0000200419,bkf_original,False,False,False,False,Cruddasia insignis Prain
Cruddasia laotica (Gagnep.) Niyomdham,wfo-0000200514,cruddasia laotica (gagnep.) niyomdham,This is currently accepted.,wfo-0000200514,Cruddasia laotica (Gagnep.) Niyomdham,,,wfo-0000200514,bkf_original,False,False,False,False,Cruddasia laotica (Gagnep.) Niyomdham
Cruddasia craibii Niyomdham,wfo-0000193241,cruddasia craibii niyomdham,This is currently accepted.,wfo-0000193241,Cruddasia craibii Niyomdham,,,wfo-0000193241,bkf_original,False,False,False,False,Cruddasia craibii Niyomdham
Cruddasia pinnata (Merr.) Niyomdham,wfo-0000200517,cruddasia pinnata (merr.) niyomdham,This is currently accepted.,wfo-0000200517,Cruddasia pinnata (Merr.) Niyomdham,,,wfo-0000200517,bkf_original,False,False,False,False,Cruddasia pinnata (Merr.) Niyomdham
Cyamopsis tetragonoloba (L.) Taub.,wfo-0000189996,cyamopsis tetragonoloba (l.) taub.,This is currently accepted.,wfo-0000189996,Cyamopsis tetragonoloba (L.) Taub.,,,wfo-0000189996,bkf_original,False,False,False,False,Cyamopsis tetragonoloba (L.) Taub.
Cyclocarpa stellaris Afzel. ex Urb.,wfo-1200001723,cyclocarpa stellaris afzel. ex urb.,This is currently accepted.,wfo-1200001723,Cyclocarpa stellaris Afzel. ex Urb.,,,wfo-1200001723,bkf_original,False,False,False,False,Cyclocarpa stellaris Afzel. ex Urb.
Dalbergia glomeriflora Kurz,wfo-0000199991,dalbergia glomeriflora kurz,This is currently accepted.,wfo-0000199991,Dalbergia glomeriflora Kurz,,,wfo-0000199991,bkf_original,False,False,False,False,Dalbergia glomeriflora Kurz
Dalbergia cochinchinensis Pierre,wfo-0000199943,dalbergia cochinchinensis pierre,This is currently accepted.,wfo-0000199943,Dalbergia cochinchinensis Pierre,,,wfo-0000199943,bkf_original,False,False,False,False,Dalbergia cochinchinensis Pierre
Dalbergia nigrescens Kurz,wfo-0000199981,dalbergia nigrescens kurz,This is currently accepted.,wfo-0000199981,Dalbergia nigrescens Kurz,,,wfo-0000199981,bkf_original,False,False,False,False,Dalbergia nigrescens Kurz
Dalbergia cana Graham ex Kurz,wfo-0000199940,dalbergia cana graham ex kurz,This is currently accepted.,wfo-0000199940,Dalbergia cana Graham ex Kurz,,,wfo-0000199940,bkf_original,False,False,False,False,Dalbergia cana Graham ex Kurz
Dalbergia oliveri Gamble ex Prain,wfo-0000199984,dalbergia oliveri gamble ex prain,This is currently accepted.,wfo-0000199984,Dalbergia oliveri Gamble ex Prain,,,wfo-0000199984,bkf_original,False,False,False,False,Dalbergia oliveri Gamble ex Prain
Dalbergia suthepensis Niyomdham,wfo-0000637110,dalbergia suthepensis niyomdham,This is currently accepted.,wfo-0000637110,Dalbergia suthepensis Niyomdham,,,wfo-0000637110,bkf_original,False,False,False,False,Dalbergia suthepensis Niyomdham
Dalbergia cultrata Graham. ex Benth.,wfo-1200027652,dalbergia cultrata graham. ex benth.,This is currently accepted.,,,,,wfo-1200027652,bkf_original,False,False,False,False,
Dalbergia sissoo Roxb. ex DC,wfo-0000172499,dalbergia sissoo roxb. ex dc,This is currently accepted.,,,,,wfo-0000172499,bkf_original,False,False,False,False,
Dalbergia lanceolaria L.f.,wfo-0000172222,dalbergia lanceolaria l.f.,This is currently accepted.,wfo-0000172222,Dalbergia lanceolaria L.f.,,,wfo-0000172222,bkf_original,False,False,False,False,Dalbergia lanceolaria L.f.
Dalbergia assamica Benth.,wfo-0000197964,dalbergia assamica benth.,This is currently accepted.,wfo-0000197964,Dalbergia assamica Benth.,,,wfo-0000197964,bkf_original,False,False,False,False,Dalbergia assamica Benth.
Dalbergia tsoi,wfo-0000637022,dalbergia tsoi,Dalbergia tsoi,wfo-0000197285,Dalbergia tsoi Merr. & Chun,,,wfo-0000637022,bkf_original,True,False,False,True,
Dalbergia junghuhnii,wfo-0000205940,dalbergia junghuhnii,Dalbergia junghuhnii,,,,,wfo-0000205940,bkf_original,False,False,False,False,
Dalbergia entadoides Pierre ex Gagnep.,wfo-0000199953,dalbergia entadoides pierre ex gagnep.,This is currently accepted.,,,,,wfo-0000199953,bkf_original,False,False,False,False,
Dalbergia parviflora Roxb.,wfo-0000185087,dalbergia parviflora roxb.,This is currently accepted.,wfo-0000185087,Dalbergia parviflora Roxb.,,,wfo-0000185087,bkf_original,False,False,False,False,Dalbergia parviflora Roxb.
Dalbergia rimosa Roxb.,wfo-0000197316,dalbergia rimosa roxb.,This is currently accepted.,wfo-0000197316,Dalbergia rimosa Roxb.,,,wfo-0000197316,bkf_original,False,False,False,False,Dalbergia rimosa Roxb.
Dalbergia foliacea Wall. ex Benth.,wfo-0000200007,dalbergia foliacea wall. ex benth.,This is currently accepted.,wfo-0000200007,Dalbergia foliacea Wall. ex Benth.,,,wfo-0000200007,bkf_original,False,False,False,False,Dalbergia foliacea Wall. ex Benth.
Dalbergia ovata Graham ex Benth.,wfo-0000199987,dalbergia ovata graham ex benth.,This is currently accepted.,wfo-0000199987,Dalbergia ovata Graham ex Benth.,,,wfo-0000199987,bkf_original,False,False,False,False,Dalbergia ovata Graham ex Benth.
