wfo_id,wfo_full_name,wfo_check,input_name_string
wfo-0000933189,Cryptocoryne cordata Griff.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/cordata,cryptocoryne cordata griff.
,,1 candidates found.,cryptocoryne affinis hook.f.
wfo-0000921103,"Cryptocoryne loeiensis Bastm., T.Idei & N.Jacobsen",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/loeiensis,"cryptocoryne loeiensis bastm., t.idei & n.jacobsen"
wfo-0000917409,"Cryptocoryne mekongensis T.Idei, Bastm. & N.Jacobsen",Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/mekongensis,"cryptocoryne mekongensis t.idei, bastm. & n.jacobsen"
wfo-0000933197,Cryptocoryne cruddasiana Prain,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/cruddasiana,cryptocoryne cruddasiana prain
wfo-0000933166,Cryptocoryne albida R.Parker,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/crispatula/albida$Cryptocoryne/albida,cryptocoryne albida r.parker
wfo-0000933191,Cryptocoryne crispatula Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Cryptocoryne/crispatula,cryptocoryne crispatula engl.
,,1 candidates found.,aglaodorum griffithii schott
wfo-0000915610,Aglaonema brevispathum (Engl.) Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/brevispathum,aglaonema brevispathum (engl.) engl.
wfo-0000916144,Aglaonema chermsiriwattanae Sookch.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/chermsiriwattanae,aglaonema chermsiriwattanae sookch.
wfo-0000917172,Aglaonema costatum N.E.Br.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/costatum,aglaonema costatum n.e.br.
wfo-0000923688,Aglaonema ovatum Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/ovatum,aglaonema ovatum engl.
wfo-0000921877,Aglaonema modestum Schott ex Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/modestum,aglaonema modestum schott ex engl.
wfo-0000924413,Aglaonema pumilum Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/pumilum,aglaonema pumilum hook.f.
wfo-0000922580,Aglaonema nitidum (Jack) Kunth,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/nitidum,aglaonema nitidum (jack) kunth
wfo-0000916275,Aglaonema cochinchinense Engl.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Aglaonema/cochinchinense,aglaonema cochinchinense engl.
,,1 candidates found.,aglaonema simplex (blume) blume
,,10 candidates found.,homalomena rostrata griff.
wfo-0000983152,Homalomena lancifolia Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Homalomena/lancifolia,homalomena lancifolia hook.f.
wfo-0000983126,Homalomena humilis (Jack) Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Homalomena/humilis,homalomena humilis (jack) hook.f.
wfo-0000983107,Homalomena griffithii (Schott) Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Homalomena/griffithii,homalomena griffithii (schott) hook.f.
,,10 candidates found.,homalomena pontederiifolia griff. ex hook.f.
wfo-0000983059,Homalomena aromatica (Spreng.) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Homalomena/aromatica,homalomena aromatica (spreng.) schott
wfo-0000214941,Homalomena truncata (Schott) Hook.f.,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Homalomena/truncata,homalomena truncata (schott) hook.f.
,,1 candidates found.,remusatia pumila (d.don) h.li & a.hay
wfo-0000295504,Remusatia vivipara (Roxb.) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Remusatia/vivipara,remusatia vivipara (roxb.) schott
,,1 candidates found.,"colocasia menglaensis j.t.yin, h.li & z.f.xu"
wfo-0000227228,Leucocasia gigantea (Blume) Schott,Code/Plantae/Pteridobiotina/Angiosperms/Alismatales/Araceae/Leucocasia/gigantea,leucocasia gigantea
