wfo_id,wfo_full_name,wfo_check,specific_name
wfo-0000379073,"Natsiatum herpeticum Buch.-Ham. ex Arn.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Natsiatum/herpeticum,"Natsiatum herpeticum Buch.-Ham. ex Arn."
wfo-0000373715,"Miquelia kleinii Meisn.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Miquelia/kleinii,"Miquelia kleinii Meisn."
wfo-0000465335,"Phytocrene oblonga Wall.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Phytocrene/oblonga,"Phytocrene oblonga Wall."
wfo-0000465332,"Phytocrene palmata Wall.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Phytocrene/palmata,"Phytocrene palmata Wall."
wfo-0000465385,"Phytocrene bracteata Wall.",Code/Plantae/Pteridobiotina/Angiosperms/Icacinales/Icacinaceae/Phytocrene/bracteata,"Phytocrene bracteata Wall."
wfo-0000802651,"Cardiopteris quinqueloba (Hassk.) Hassk.",Code/Plantae/Pteridobiotina/Angiosperms/Aquifoliales/Cardiopteridaceae/Cardiopteris/quinqueloba,"Cardiopteris quinqueloba (Hassk.) Hassk."
wfo-0000647610,"Dillenia parviflora Griff.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/parviflora,"Dillenia parviflora Griff."
wfo-0000647615,"Dillenia pentagyna Roxb.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/pentagyna,"Dillenia pentagyna Roxb."
wfo-0000647511,"Dillenia aurea Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/aurea,"Dillenia aurea Sm."
wfo-0000647601,"Dillenia obovata (Blume) Hoogland",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/obovata,"Dillenia obovata (Blume) Hoogland"
wfo-0000647605,"Dillenia ovata Wall. ex Hook.f. & Thomson",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/ovata,"Dillenia ovata"
,,"1 candidates found.","Dillenia suffruticosa (Grillf.) Martelli"
,,"2 candidates found.","Dillenia excelsa (Jack) Martelli ex Gilg."
wfo-0000647562,"Dillenia hookeri Pierre",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/hookeri,"Dillenia hookeri Pierre"
wfo-0000647605,"Dillenia ovata Wall. ex Hook.f. & Thomson",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/ovata,"Dillenia ovata Wall. ex Hook.f. & Thomson"
wfo-0000647564,"Dillenia indica L.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Dillenia/indica,"Dillenia indica L."
wfo-0000518969,"Acrotrema costatum Jack",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Acrotrema/costatum,"Acrotrema costatum Jack"
wfo-0001045865,"Tetracera scandens (L.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Tetracera/scandens,"Tetracera scandens (L.) Merr."
wfo-0001045885,"Tetracera sarmentosa (L.) Vahl",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Tetracera/sarmentosa,"Tetracera sarmentosa (L.) Vahl"
wfo-0000408341,"Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Tetracera/scandens$Tetracera/loureiroi,"Tetracera loureiroi (Finet & Gagnep.) Pierre ex Craib"
wfo-0001267164,"Tetracera indica (Christm. & Panz.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Dilleniales/Dilleniaceae/Tetracera/indica,"Tetracera indica (Christm. & Panz.) Merr."
wfo-0001224545,"Saurauia napaulensis DC.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Actinidiaceae/Saurauia/napaulensis,"Saurauia napaulensis DC."
wfo-0001225014,"Saurauia tristyla DC.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Actinidiaceae/Saurauia/tristyla,"Saurauia tristyla DC."
wfo-0000500955,"Saurauia roxburghii Wall.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Actinidiaceae/Saurauia/roxburghii,"Saurauia roxburghii Wall."
wfo-0000357302,"Kadsura coccinea (Lem.) A.C.Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Austrobaileyales/Schisandraceae/Kadsura/coccinea,"Kadsura coccinea"
wfo-0000357309,"Kadsura heteroclita (Roxb.) Craib",Code/Plantae/Pteridobiotina/Angiosperms/Austrobaileyales/Schisandraceae/Kadsura/heteroclita,"Kadsura heteroclita (Roxb.) Craib"
wfo-0000357329,"Kadsura scandens (Blume) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Austrobaileyales/Schisandraceae/Kadsura/scandens,"Kadsura scandens (Blume) Blume"
wfo-0000730102,"Illicium stapfii Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Austrobaileyales/Schisandraceae/Illicium/stapfii,"Illicium stapfii"
wfo-0001254717,"Illicium tenuifolium (Ridl.) A.C.Sm.",Code/Plantae/Pteridobiotina/Angiosperms/Austrobaileyales/Schisandraceae/Illicium/tenuifolium,"Illicium tenuifolium (Ridl.) A.C.Sm."
,,"2 candidates found.","Rourea minor (Gaertn.) Leenh."
wfo-0000403288,"Rourea prainiana Talbot",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Rourea/prainiana,"Rourea prainiana Talbot"
wfo-0000403185,"Rourea mimosoides (Vahl) Planch.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Rourea/mimosoides,"Rourea mimosoides (Vahl) Planch."
,,"1 candidates found.","Rourea sp."
wfo-0000398949,"Rourea stenopetala (Griff.) Hook.f.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Rourea/stenopetala,"Rourea stenopetala"
wfo-0001278791,"Rourea acutipetala Miq.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Rourea/acutipetala,"Rourea acutipetala"
wfo-0000523801,"Agelaea trinervis (Llanos) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Agelaea/trinervis,"Agelaea trinervis (Llanos) Merr."
wfo-0000523712,"Agelaea borneensis (Hook.f.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Agelaea/borneensis,"Agelaea borneensis (Hook.f.) Merr."
wfo-0000612722,"Cnestis palala (Lour.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Cnestis/palala,"Cnestis palala (Lour.) Merr."
wfo-0000666433,"Ellipanthus tomentosus Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Ellipanthus/tomentosus,"Ellipanthus tomentosus Kurz"
wfo-0000618259,"Connarus semidecandrus Jack",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Connarus/semidecandrus,"Connarus semidecandrus Jack"
wfo-0000618079,"Connarus ferrugineus Jack",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Connarus/ferrugineus,"Connarus ferrugineus Jack"
wfo-0000618214,"Connarus planchonianus G.Schellenb.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Connarus/planchonianus,"Connarus planchonianus G.Schellenb."
wfo-0000618197,"Connarus paniculatus Roxb.",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Connarus/paniculatus,"Connarus paniculatus Roxb."
,,"1 candidates found.","Connarus monocarpus L."
wfo-0000618040,"Connarus cochinchinensis (Baill.) Pierre",Code/Plantae/Pteridobiotina/Angiosperms/Oxalidales/Connaraceae/Connarus/cochinchinensis,"Connarus cochinchinensis (Baill.) Pierre"
,,"10 candidates found.","Neuwiedia siamensis de Vogel"
,,"1 candidates found.","Neuwiedia zollingeri Reichb.f."
wfo-0000249997,"Apostasia odorata Blume",Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Apostasia/odorata,"Apostasia odorata Blume"
wfo-0000250068,"Apostasia wallichii R.Br.",Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Apostasia/wallichii,"Apostasia wallichii R.Br."
wfo-0000249986,"Apostasia nuda R.Br.",Code/Plantae/Pteridobiotina/Angiosperms/Asparagales/Orchidaceae/Apostasia/nuda,"Apostasia nuda R.Br."
wfo-0000519280,"Actinidia latifolia (Gardner & Champ.) Merr.",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Actinidiaceae/Actinidia/latifolia,"Actinidia latifolia (Gardner & Champ.) Merr."
wfo-0000519327,"Actinidia rubricaulis Dunn",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Actinidiaceae/Actinidia/rubricaulis,"Actinidia rubricaulis Dunn"
wfo-0001142241,"Sladenia celastrifolia Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Sladeniaceae/Sladenia/celastrifolia,"Sladenia celastrifolia Kurz"
wfo-0001274901,"Pyrenaria diospyricarpa Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Theaceae/Pyrenaria/diospyricarpa,"Pyrenaria diospyricarpa"
wfo-0001274901,"Pyrenaria diospyricarpa Kurz",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Theaceae/Pyrenaria/diospyricarpa,"Pyrenaria diospyricarpa"
wfo-0001332644,"Polyspora dalglieshiana (Craib) Orel, Peter G.Wilson, Curry & Luu",Code/Plantae/Pteridobiotina/Angiosperms/Ericales/Theaceae/Polyspora/dalglieshiana,"Polyspora dalglieshiana"
,,"2 candidates found.","Polyspora axillaris"
,,"2 candidates found.","Schima wallichii (DC.) Korth"
