score,wfo_id,wfo_full_name,wfo_check,specific_name
6,wfo-0001243768,"Trema africanum (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/africanum,"Trema angustifolia (Planch.) Blume"
5,wfo-1000052115,"Trema amboinense (Willd.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/tomentosum$Trema/amboinense,"Trema angustifolia (Planch.) Blume"
4,wfo-0001244137,"Trema amboinensis (Willd.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/amboinensis,"Trema angustifolia (Planch.) Blume"
3,wfo-0000457742,"Trema argenteum (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/argenteum,"Trema angustifolia (Planch.) Blume"
2,wfo-0001265998,"Trema aspera (Brongn.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/aspera,"Trema angustifolia (Planch.) Blume"
1,wfo-1000007971,"Trema asperum (Blume) Byng & Christenh.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/eurhynchum$Trema/asperum,"Trema angustifolia (Planch.) Blume"
10,wfo-0001244140,"Trema nitidum C.J.Chen",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/nitidum,"Trema nitida C.J.Chen"
9,wfo-0001243772,"Trema nitens (Hook.f. ex Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/nitens,"Trema nitida C.J.Chen"
8,wfo-0000457720,"Trema acuminatissima (Miq.) Boerl.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium$Trema/acuminatissima,"Trema nitida C.J.Chen"
7,wfo-0001143172,"Trema affine (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/affine,"Trema nitida C.J.Chen"
6,wfo-0001243768,"Trema africanum (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/africanum,"Trema nitida C.J.Chen"
5,wfo-1000052115,"Trema amboinense (Willd.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/tomentosum$Trema/amboinense,"Trema nitida C.J.Chen"
4,wfo-0001244137,"Trema amboinensis (Willd.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/amboinensis,"Trema nitida C.J.Chen"
3,wfo-0001423309,"Trema andersonii (Planch.) Byng & Christenh.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/andersonii,"Trema nitida C.J.Chen"
2,wfo-0001230828,"Trema angustifolium (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium,"Trema nitida C.J.Chen"
1,wfo-0000457742,"Trema argenteum (Planch.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/argenteum,"Trema nitida C.J.Chen"
10,wfo-0000457758,"Trema orientale (L.) Blume",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale,"Trema orientalis (L.) Blume"
9,wfo-1200063791,"Trema orientale var. amboinense (Willd.) Lauterb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/tomentosum/tomentosum$Trema/orientale/amboinense,"Trema orientalis (L.) Blume"
8,wfo-1200063789,"Trema orientale var. argenteum (Planch.) Lauterb.",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/orientale/argenteum,"Trema orientalis (L.) Blume"
7,wfo-1200063821,"Trema orientale var. bicolor de Wit",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/angustifolium$Trema/orientale/bicolor,"Trema orientalis (L.) Blume"
6,wfo-1200063820,"Trema orientale var. bicornis de Wit",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/orientale$Trema/orientale/bicornis,"Trema orientalis (L.) Blume"
5,wfo-0001324971,"Trema orientale f. micrantha (L.) Kuntze",Code/Plantae/Pteridobiotina/Angiosperms/Rosales/Cannabaceae/Trema/micranthum$Trema/orientale/micrantha,"Trema orientalis (L.) Blume"
