volume,family_name,family_url,family_max_index_expected,family_missing_indices,genus_count_observed
5,Nyctaginaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Nyctaginaceae&volumeno=5,4.0,,4
5,Amaranthaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Amaranthaceae&volumeno=5,14.0,,14
5,Basellaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Basellaceae&volumeno=5,2.0,,2
5,Caryophyllaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Caryophyllaceae&volumeno=5,8.0,,8
5,Chloranthaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Chloranthaceae&volumeno=5,2.0,,2
5,Crypteroniaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Crypteroniaceae&volumeno=5,,,1
5,Phytolaccaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Phytolaccaceae&volumeno=5,,,1
5,Sonneratiaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Sonneratiaceae&volumeno=5,2.0,,2
5,Umbelliferae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Umbelliferae&volumeno=5,13.0,,15
6,Taccaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Taccaceae&volumeno=6,,,1
6,Tiliaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Tiliaceae&volumeno=6,12.0,,13
6,Myrsinaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Myrsinaceae&volumeno=6,7.0,,7
6,Cruciferae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Cruciferae&volumeno=6,2.0,,2
6,Hugoniaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Hugoniaceae&volumeno=6,,,1
6,Ixonanthaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Ixonanthaceae&volumeno=6,,,1
6,Linaceae,https://botany.dnp.go.th/eflora/florafamily.html?factsheet=Linaceae&volumeno=6,3.0,,3
